Fiyat,Marka,Seri,Model,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Renk,Motor Hacmi,Motor Gücü,Çekiş,Ortalama Yakıt Tüketimi,Yakıt Deposu
4.450.000 TL,Mercedes - Benz,E,300 D AMG,2021,48.000 km,Otomatik,Dizel,Coupe,Yeşil,1992 cc,265 hp,4WD (Sürekli),"5,7 lt",50 lt
3.645.000 TL,Audi,A5,A5 Cabrio 45 TFSI Quattro S Line,2022,39.986 km,Otomatik,Benzin,Cabrio,Yeşil,1801 - 2000 cm3,251 - 275 HP,4WD (Sürekli),"
",Takasa Uygun
450.000 TL,Renault,Megane,1.5 dCi Impressor,2012,430.000 km,Düz,Dizel,Coupe,Turuncu,1461 cc,110 hp,Önden Çekiş,"4,4 lt",60 lt
190.000 TL,Renault,R 12,Toros,1993,162.000 km,Düz,LPG & Benzin,Station wagon,Beyaz,1397 cc,72 hp,Önden Çekiş,Belirtilmemiş,Takasa Uygun Değil
148.000 TL,Ford,Escort,1.6 CLX,1994,109.000 km,Düz,LPG & Benzin,Station wagon,Beyaz,1597 cc,90 hp,Önden Çekiş,Belirtilmemiş,Takasa Uygun Değil
340.000 TL,Renault,R 12,Toros,1998,152.000 km,Düz,LPG & Benzin,Station wagon,Beyaz,1397 cc,72 hp,Önden Çekiş,Belirtilmemiş,Sahibinden
200.000 TL,Toyota,Corolla,1.3 XL,1995,229.000 km,Düz,LPG & Benzin,Station wagon,Yeşil,1295 cc,75 hp,Önden Çekiş,Belirtilmemiş,Takasa Uygun Değil
155.000 TL,Renault,R 12,TSW,1990,258.555 km,Düz,LPG & Benzin,Station wagon,Beyaz,1397 cc,72 hp,Önden Çekiş,Belirtilmemiş,Takasa Uygun Değil
115.000 TL,Opel,Kadett,1.4,1990,450.000 km,Düz,LPG & Benzin,Station wagon,Kırmızı,1389 cc,60 hp,Önden Çekiş,Belirtilmemiş,Takasa Uygun
115.000 TL,Opel,Kadett,1.4,1990,450.000 km,Düz,LPG & Benzin,Station wagon,Kırmızı,1389 cc,60 hp,Önden Çekiş,Belirtilmemiş,Takasa Uygun
160.000 TL,Renault,R 12,TSW,1986,210.000 km,Düz,LPG & Benzin,Station wagon,Mavi,1397 cc,72 hp,Önden Çekiş,Belirtilmemiş,Takasa Uygun
5.590.000 TL,Audi,RS,RS6,2015,112.000 km,Otomatik,Benzin,Station wagon,Siyah,3993 cc,560 hp,4WD (Sürekli),"9,6 lt",75 lt
275.000 TL,Renault,Laguna,2.0 RXT,1998,365.000 km,Düz,LPG & Benzin,Station wagon,Yeşil,1948 cc,139 hp,Önden Çekiş,9 lt,66 lt
537.000 TL,Audi,A6,A6 Avant 2.5 TDI Quattro,2000,376.900 km,Otomatik,Dizel,Station wagon,Mavi (metalik),2496 cc,180 hp,4WD (Sürekli),"8,9 lt",70 lt
460.000 TL,Peugeot,407,2.0 Executive Premium,2005,342.000 km,Otomatik,LPG & Benzin,Station wagon,Gri (Gümüş),1997 cc,138 hp,Önden Çekiş,"8,9 lt",66 lt
1.359.000 TL,Audi,A6,A6 Allroad Quattro 3.0 TDI,2012,372.000 km,Otomatik,Dizel,Station wagon,Siyah,2967 cc,240 hp,4WD (Sürekli),"8,8 lt",80 lt
1.950.000 TL,Audi,A6,A6 Allroad Quattro 3.0 TDI,2012,335.000 km,Otomatik,Dizel,Station wagon,Gri,2967 cc,240 hp,4WD (Sürekli),"8,8 lt",80 lt
950.000 TL,Audi,A6,A6 Allroad Quattro 3.0 TDI,2009,540.000 km,Otomatik,Dizel,Station wagon,Siyah,2967 cc,233 hp,4WD (Sürekli),"8,8 lt",80 lt
660.000 TL,Audi,A6,A6 Allroad Quattro 3.0 TDI,2007,438.000 km,Otomatik,Dizel,Station wagon,Gri,2967 cc,233 hp,4WD (Sürekli),"8,8 lt",80 lt
695.000 TL,Subaru,Legacy,2.0 Comfort,2008,214.000 km,Otomatik,LPG & Benzin,Station wagon,Füme,1994 cc,165 hp,4WD (Sürekli),"8,8 lt",64 lt
780.000 TL,Volkswagen,Passat Variant,2.5 TDi Trendline,2008,297.000 km,Otomatik,Dizel,Station wagon,Siyah,2496 cc,180 hp,4WD (Sürekli),"8,5 lt",62 lt
259.000 TL,Fiat,Palio,1.6 HL Weekend,1999,180.000 km,Düz,LPG & Benzin,Station wagon,Yeşil (metalik),1581 cc,100 hp,Önden Çekiş,"8,3 lt",51 lt
259.000 TL,Fiat,Palio,1.6 HL Weekend,1999,180.000 km,Düz,LPG & Benzin,Station wagon,Yeşil (metalik),1581 cc,100 hp,Önden Çekiş,"8,3 lt",51 lt
264.000 TL,Fiat,Palio,1.6 HL Weekend,1999,244.000 km,Düz,LPG & Benzin,Station wagon,Bordo,1581 cc,100 hp,Önden Çekiş,"8,3 lt",51 lt
285.000 TL,Fiat,Palio,1.6 HL Weekend,2001,183.000 km,Düz,LPG & Benzin,Station wagon,Gri (Gümüş),1581 cc,100 hp,Önden Çekiş,"8,3 lt",51 lt
380.000 TL,Fiat,Palio,1.6 HL Weekend,2000,140.000 km,Düz,LPG & Benzin,Station wagon,Gri,1581 cc,100 hp,Önden Çekiş,"8,3 lt",51 lt
465.000 TL,Dacia,Logan,1.6 MCV Black Line,2010,84.000 km,Düz,Benzin,Station wagon,Gri (Gümüş),1598 cc,90 hp,Önden Çekiş,"7,9 lt",50 lt
595.000 TL,Renault,Clio,1.6 Grandtour Extreme,2012,90.000 km,Otomatik,Benzin,Station wagon,Gri (Gümüş),1598 cc,110 hp,Önden Çekiş,"7,8 lt",55 lt
525.000 TL,Chevrolet,Lacetti,1.6 SX,2010,126.000 km,Düz,LPG & Benzin,Station wagon,Beyaz,1598 cc,109 hp,Önden Çekiş,"7,8 lt",60 lt
285.000 TL,Volkswagen,Polo,1.6 Variant,2001,179.000 km,Düz,LPG & Benzin,Station wagon,Beyaz,1595 cc,100 hp,Önden Çekiş,"7,8 lt",45 lt
425.000 TL,Skoda,Octavia,1.6 GLX,2000,263.000 km,Düz,LPG & Benzin,Station wagon,Beyaz,1598 cc,100 hp,Önden Çekiş,"7,8 lt",55 lt
210.000 TL,Lada,Vega,1.5,2000,192.000 km,Düz,LPG & Benzin,Station wagon,Beyaz,1499 cc,77 hp,Önden Çekiş,"7,7 lt",43 lt
155.000 TL,Lada,Vega,1.5,2000,283.000 km,Düz,LPG & Benzin,Station wagon,Bordo,1499 cc,77 hp,Önden Çekiş,"7,7 lt",43 lt
170.000 TL,Lada,Vega,1.5,2000,301.000 km,Düz,LPG & Benzin,Station wagon,Yeşil,1499 cc,77 hp,Önden Çekiş,"7,7 lt",43 lt
